"","condition","cn","target_ICC","beta1","beta2","beta3","coef_con_diff_p_sib0","coef_gender_composition_two_eff_p_sib0","coef_con_diff_p_sib1","coef_ev1_p_sib1","coef_ev2_p_sib1","coef_con_diff_p_sib2","coef_gender_composition_two_eff_p_sib2","coef_con_diffxgender_composition_two_eff_p_sib2","coef_con_diff_p_sib3","coef_ev1_p_sib3","coef_ev2_p_sib3","coef_con_diffxev1_p_sib3","coef_con_diffxev2_p_sib3","coef_fixed_con_p_MLM1","coef_fixed_catwtn_p_MLM1","coef_fixed_con_p_MLM2","coef_fixed_catwtn_p_MLM2","coef_fixed_catwtnxcon_p_MLM2","coef_fixed_con_p_MLM3","coef_fixed_catbtw_p_MLM3","coef_fixed_con_p_MLM4","coef_fixed_catbtw_p_MLM4","coef_fixed_conxcatbtw_p_MLM4","coef_fixed_con_p_MLM5","coef_fixed_ev1_p_MLM5","coef_fixed_ev2_p_MLM5","coef_fixed_con_p_MLM6","coef_fixed_ev1_p_MLM6","coef_fixed_ev2_p_MLM6","coef_fixed_conxev1_p_MLM6","coef_fixed_conxev2_p_MLM6"
"37",37,30,0.2,0.3,0.3,0.1,0.929,0.976,0.922,0.21,0.365,0.941,0.988,0.128,0.883,0.389,0.117,0.295,0.16,1,1,1,1,0.989,1,0.911,1,0.904,0.075,1,1,0.966,1,1,0.968,0.248,0.274
"38",38,120,0.2,0.3,0.3,0.1,1,1,1,0.722,0.831,1,1,0.381,1,0.991,0.178,0.962,0.597,1,1,1,1,1,1,1,1,1,0.068,1,1,1,1,1,1,0.968,0.964
"39",39,510,0.2,0.3,0.3,0.1,1,1,1,1,1,1,1,0.943,1,1,0.525,1,0.999,1,1,1,1,1,1,1,1,1,0.058,1,1,1,1,1,1,1,1
"40",40,30,0.4,0.3,0.3,0.1,0.925,0.98,0.921,0.187,0.498,0.941,0.985,0.146,0.884,0.368,0.126,0.266,0.148,1,1,1,1,0.913,1,1,1,1,0.076,1,1,0.696,0.999,0.999,0.67,0.178,0.163
"41",41,120,0.4,0.3,0.3,0.1,1,1,1,0.715,0.962,1,1,0.402,1,0.99,0.342,0.964,0.596,1,1,1,1,1,1,1,1,1,0.07,1,1,0.999,1,1,1,0.86,0.88
"42",42,510,0.4,0.3,0.3,0.1,1,1,1,1,1,1,1,0.954,1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,0.062,1,1,1,1,1,1,1,1
"43",43,30,0.8,0.3,0.3,0.1,0.921,0.893,0.903,0.206,0.88,0.936,0.914,0.142,0.88,0.352,0.32,0.288,0.154,1,1,1,1,0.38,1,1,1,1,0.05,1,1,0.526,1,1,0.473,0.053,0.06
"44",44,120,0.8,0.3,0.3,0.1,1,1,1,0.672,1,1,1,0.423,1,0.953,0.989,0.967,0.565,1,1,1,1,0.923,1,1,1,1,0.047,1,1,0.996,1,1,0.995,0.292,0.313
"45",45,510,0.8,0.3,0.3,0.1,1,1,1,0.997,1,1,1,0.957,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.058,1,1,1,1,1,1,0.961,0.971
"46",46,30,0.2,0.3,0.5,0.1,0.958,1,0.952,0.327,0.736,0.965,0.998,0.117,0.938,0.437,0.54,0.286,0.398,1,1,1,1,0.975,0.992,0.993,0.983,0.989,0.086,0.998,1,0.996,0.999,1,0.992,0.061,0.067
"47",47,120,0.2,0.3,0.5,0.1,1,1,1,0.892,0.951,1,1,0.199,1,0.988,0.756,0.905,0.857,1,1,1,1,1,1,1,1,1,0.053,1,1,1,1,1,1,0.692,0.674
"48",48,510,0.2,0.3,0.5,0.1,1,1,1,1,1,1,1,0.191,1,1,0.997,1,1,1,1,1,1,1,1,1,1,1,0.059,1,1,1,1,1,1,1,1
"49",49,30,0.4,0.3,0.5,0.1,0.961,0.999,0.956,0.268,0.812,0.958,0.998,0.151,0.918,0.365,0.642,0.265,0.396,1,1,1,1,0.895,0.999,1,0.997,1,0.079,1,1,0.879,1,1,0.818,0.043,0.038
"50",50,120,0.4,0.3,0.5,0.1,1,1,1,0.818,0.998,1,1,0.159,1,0.947,0.921,0.927,0.842,1,1,1,1,1,1,1,1,1,0.051,1,1,1,1,1,1,0.456,0.462
"51",51,510,0.4,0.3,0.5,0.1,1,1,1,1,1,1,1,0.172,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.061,1,1,1,1,1,1,1,1
"52",52,30,0.8,0.3,0.5,0.1,0.954,0.994,0.936,0.197,0.984,0.952,0.992,0.124,0.915,0.242,0.783,0.253,0.358,1,1,1,1,0.4,1,1,1,1,0.065,1,1,0.666,1,1,0.579,0.002,0.005
"53",53,120,0.8,0.3,0.5,0.1,1,1,1,0.634,1,1,1,0.182,1,0.794,1,0.931,0.852,1,1,1,1,0.94,1,1,1,1,0.055,1,1,1,1,1,1,0.054,0.055
"54",54,510,0.8,0.3,0.5,0.1,1,1,1,0.998,1,1,1,0.184,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.059,1,1,1,1,1,1,0.719,0.74
"55",55,30,0.2,0.3,0.1,0.3,0.873,0.121,0.764,0.291,0.541,0.819,0.117,0.117,0.951,0.147,0.031,0.856,0.85,1,0.593,1,0.907,1,1,0.203,1,0.203,0.114,1,0.446,0.096,1,0.505,0.116,0.976,0.979
"56",56,120,0.2,0.3,0.1,0.3,1,0.416,1,0.789,0.998,1,0.604,0.305,1,0.896,0.274,1,1,1,0.997,1,1,1,1,0.78,1,0.779,0.113,1,0.979,0.374,1,0.996,0.431,1,1
"57",57,510,0.2,0.3,0.1,0.3,1,0.951,1,1,1,1,0.999,0.715,1,1,0.988,1,1,1,1,1,1,1,1,1,1,1,0.09,1,1,0.925,1,1,0.976,1,1
"58",58,30,0.4,0.3,0.1,0.3,0.857,0.149,0.757,0.26,0.581,0.808,0.157,0.127,0.931,0.154,0.033,0.856,0.842,1,0.61,1,0.747,1,1,0.597,1,0.583,0.09,1,0.646,0.06,1,0.611,0.059,0.887,0.892
"59",59,120,0.4,0.3,0.1,0.3,1,0.546,1,0.758,0.999,1,0.731,0.297,1,0.89,0.36,1,1,1,0.995,1,0.997,1,1,0.998,1,0.997,0.087,1,0.999,0.111,1,1,0.102,1,1
"60",60,510,0.4,0.3,0.1,0.3,1,0.988,1,0.999,1,1,1,0.75,1,1,0.994,1,1,1,1,1,1,1,1,1,1,1,0.09,1,1,0.322,1,1,0.339,1,1
"61",61,30,0.8,0.3,0.1,0.3,0.846,0.185,0.715,0.164,0.584,0.787,0.204,0.163,0.926,0.145,0.055,0.852,0.83,1,0.498,1,0.534,0.54,1,1,1,1,0.053,1,0.961,0.213,1,0.922,0.194,0.395,0.4
"62",62,120,0.8,0.3,0.1,0.3,1,0.647,0.999,0.557,0.999,1,0.765,0.32,1,0.892,0.563,1,1,1,0.989,1,0.99,0.984,1,1,1,1,0.053,1,1,0.668,1,1,0.666,0.869,0.882
"63",63,510,0.8,0.3,0.1,0.3,1,0.999,1,0.993,1,1,1,0.799,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.062,1,1,0.998,1,1,0.999,1,1
"64",64,30,0.2,0.3,0.3,0.3,0.695,0.822,0.66,0.088,0.479,0.673,0.828,0.101,0.863,0.445,0.089,0.777,0.742,1,1,1,1,1,1,0.825,0.999,0.805,0.105,1,0.999,0.631,0.998,0.999,0.709,0.912,0.93
"65",65,120,0.2,0.3,0.3,0.3,0.999,1,0.999,0.112,0.994,0.999,1,0.22,0.999,0.998,0.356,0.999,0.999,1,1,1,1,1,1,1,1,1,0.087,1,1,0.996,1,1,1,1,1
"66",66,510,0.2,0.3,0.3,0.3,1,1,1,0.216,1,1,1,0.521,1,1,0.965,1,1,1,1,1,1,1,1,1,1,1,0.067,1,1,1,1,1,1,1,1
"67",67,30,0.4,0.3,0.3,0.3,0.642,0.842,0.606,0.066,0.629,0.602,0.844,0.119,0.857,0.399,0.115,0.771,0.706,1,1,1,1,0.998,1,1,1,0.999,0.084,1,0.999,0.199,0.999,0.999,0.228,0.802,0.815
"68",68,120,0.4,0.3,0.3,0.3,1,1,1,0.137,1,1,1,0.24,1,0.998,0.687,1,1,1,1,1,1,1,1,1,1,1,0.087,1,1,0.765,1,1,0.807,1,1
"69",69,510,0.4,0.3,0.3,0.3,1,1,1,0.421,1,1,1,0.571,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.081,1,1,1,1,1,1,1,1
"70",70,30,0.8,0.3,0.3,0.3,0.542,0.756,0.49,0.108,0.784,0.524,0.75,0.095,0.819,0.405,0.301,0.756,0.637,1,0.997,1,0.998,0.547,1,1,1,1,0.046,1,1,0.665,1,1,0.624,0.283,0.265
"71",71,120,0.8,0.3,0.3,0.3,0.999,1,0.999,0.273,1,0.999,1,0.232,1,0.998,0.997,1,1,1,1,1,1,0.984,1,1,1,1,0.053,1,1,1,1,1,1,0.833,0.838
"72",72,510,0.8,0.3,0.3,0.3,1,1,1,0.796,1,1,1,0.678,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.063,1,1,1,1,1,1,1,1
"73",73,30,0.2,0.3,0.5,0.3,0.741,0.993,0.719,0.229,0.53,0.706,0.991,0.115,0.88,0.464,0.301,0.727,0.761,1,1,1,1,1,0.974,0.973,0.967,0.964,0.076,0.998,1,0.915,0.999,1,0.944,0.815,0.807
"74",74,120,0.2,0.3,0.5,0.3,0.998,1,0.999,0.649,0.986,0.999,1,0.136,1,0.995,0.679,1,1,1,1,1,1,1,1,1,1,1,0.077,1,1,1,1,1,1,1,1
